customer_id,first_name,last_name,email,address_id
1,Agretha,Corstorphine,agretha.corstorphine@gmail.com,59
2,Joycelin,Huburn,joycelin.huburn@hotmail.fr,53
3,Angelita,Picton,angelita.picton@hotmail.com,13
4,Karlens,Cornilli,karlens.cornilli@hotmail.com,52
5,Celestyn,Kellitt,celestyn.kellitt@yahoo.com,70
6,Dex,Waring,dex.waring@gmail.com,59
7,Elysia,Seeler,elysia.seeler@gmx.de,18
8,Nanice,Dealey,nanice.dealey@msn.com,54
9,Olympia,McKelvey,olympia.mckelvey@yahoo.com,24
10,Kerrill,Soeiro,kerrill.soeiro@gmail.com,28
11,Jamey,Stendell,jamey.stendell@ymail.com,71
12,Denna,O'Codihie,denna.ocodihie@yahoo.com,22
13,Rosamond,Dorkens,rosamond.dorkens@msn.com,16
14,Kathryn,Lynagh,kathryn.lynagh@yahoo.com,88
15,Kiley,Curror,kiley.curror@live.com,34
16,Chrysa,Standell,chrysa.standell@hotmail.com,59
17,Mellie,Tire,mellie.tire@laposte.net,30
18,Gusta,Hayth,gusta.hayth@yahoo.com,46
19,Lowell,Orys,lowell.orys@yahoo.com,73
20,Stephanie,Dulanty,stephanie.dulanty@yahoo.com,87
21,Vincenz,Derbyshire,vincenz.derbyshire@yahoo.com,49
22,Willem,Lichtfoth,willem.lichtfoth@gmail.com,68
23,Trula,Shireff,trula.shireff@gmail.com,12
24,Kelvin,Novello,kelvin.novello@hotmail.es,37
25,Esra,Verity,esra.verity@hotmail.com,10
26,Zacharie,Hansel,zacharie.hansel@yahoo.com,26
27,Helli,Danielski,helli.danielski@aol.com,76
28,Alexa,Graddell,alexa.graddell@yahoo.com,30
29,Valida,Hazlewood,valida.hazlewood@hotmail.com,94
30,Cyndi,Widd,cyndi.widd@gmail.com,84
31,Bond,Delacour,bond.delacour@hotmail.com,32
32,Homer,Cabrales,homer.cabrales@gmail.com,47
33,Franciska,Bilsborrow,franciska.bilsborrow@gmail.com,47
34,Domingo,Jizhaki,domingo.jizhaki@hotmail.com,20
35,Hugo,Wagge,hugo.wagge@yahoo.com,76
36,Dore,Bogart,dore.bogart@gmail.com,48
37,Nissie,Poletto,nissie.poletto@aol.com,7
38,Waiter,Godfray,waiter.godfray@yandex.ru,43
39,Meryl,O'Keevan,meryl.okeevan@rediffmail.com,59
40,Thorn,Hurrion,thorn.hurrion@aol.com,20
41,Isadore,Wilshire,isadore.wilshire@wanadoo.fr,36
42,Lind,Lutman,lind.lutman@hotmail.it,38
43,Chet,Epdell,chet.epdell@yahoo.com,67
44,Renie,Bartosiak,renie.bartosiak@yahoo.com,66
45,Joli,Cowsby,joli.cowsby@yahoo.com,46
46,Zebadiah,Mooreed,zebadiah.mooreed@gmail.com,62
47,Alaster,Iorizzi,alaster.iorizzi@hotmail.com,39
48,Viki,Corps,viki.corps@gmail.com,61
49,Sheffie,Marrill,sheffie.marrill@hotmail.com,50
50,Mikael,Crinage,mikael.crinage@yahoo.com,46
51,Charissa,MacGeffen,charissa.macgeffen@yahoo.com.br,2
52,Marni,Raspison,marni.raspison@ntlworld.com,3
53,Vivien,Bridger,vivien.bridger@orange.fr,67
54,Lorena,Cratchley,lorena.cratchley@hotmail.com,64
55,Walden,Massie,walden.massie@yahoo.co.uk,45
56,Bridget,Spurdle,bridget.spurdle@gmail.com,87
57,Pearle,Hargess,pearle.hargess@facebook.com,99
58,Mallissa,Siggee,mallissa.siggee@gmail.com,24
59,Grayce,Oldale,grayce.oldale@orange.fr,16
60,Dorolice,Rocca,dorolice.rocca@gmail.com,88
61,Basilius,Teece,basilius.teece@gmail.com,35
62,Harmony,Derell,harmony.derell@yahoo.co.in,14
63,Darb,Izard,darb.izard@gmail.com,9
64,Cynde,Hillaby,cynde.hillaby@gmail.com,94
65,Arny,Airy,arny.airy@yahoo.com,44
66,Delila,Delouch,delila.delouch@hotmail.co.uk,88
67,Estrellita,Robben,estrellita.robben@googlemail.com,67
68,Dorothee,Aingel,dorothee.aingel@gmail.com,24
